Date,2*(sq(vx1) - sq(vx2))
2015-10-09,14.620000000000005
2015-10-12,30.50999999999999
2015-10-13,29.560000000000173
2015-10-14,29.640000000000214
2015-10-15,40.500000000000114
2015-10-16,64.69124999999985
2015-10-19,42.153749999999945
2015-10-20,62.889999999999986
2015-10-21,219.6850500000001
2015-10-22,52.56000000000006
2015-10-23,42.28125
2015-10-26,41.33999999999992
2015-10-27,47.110000000000014
2015-10-28,55.75999999999999
2015-10-29,53.04000000000008
2015-10-30,47.52999999999997
2015-11-02,48.75
2015-11-03,52.879999999999995
2015-11-04,47.809999999999945
2015-11-05,52.56000000000006
2015-11-06,51.44
2015-11-09,31.050000000000182
2015-11-10,46.409999999999854
2015-11-11,40.98000000000013
2015-11-12,11.190000000000168
2015-11-13,-36.17999999999995
2015-11-16,-14.379999999999995
2015-11-17,-33.75000000000023
2015-11-18,-102.30995000000007
2015-11-19,48.09999999999991
2015-11-20,60.68999999999983
2015-11-23,55.75999999999999
2015-11-24,64.34999999999991
2015-11-25,69.10000000000002
2015-11-27,59.839999999999804
2015-11-30,55.599999999999795
2015-12-01,66.5
2015-12-02,54.960000000000036
2015-12-03,14.740000000000009
2015-12-04,73.80999999999983
2015-12-07,68.10000000000002
2015-12-08,39.710000000000036
2015-12-09,3.799999999999727
2015-12-10,-15.379999999999995
2015-12-11,-157.23374999999965
2015-12-14,-171.39999999999998
2015-12-15,-138.25
2015-12-16,-82.55455000000006
2015-12-17,23.31000000000006
2015-12-18,12.299999999999955
2015-12-21,34.289999999999964
2015-12-22,47.19000000000017
2015-12-23,51.02999999999997
2015-12-24,44.45999999999981
2015-12-28,36.14999999999998
2015-12-29,42.659999999999854
2015-12-30,31.556249999999864
2015-12-31,26.180000000000064
2016-01-04,-23.610000000000127
2016-01-05,-11.610000000000241
2016-01-06,-40.14999999999998
2016-01-07,-158.55000000000007
2016-01-08,-212.74
2016-01-11,-136.35000000000002
2016-01-12,-86.29999999999995
2016-01-13,-153.12000000000012
2016-01-14,-119.21000000000015
2016-01-15,-216.00625000000014
2016-01-19,-182.04375000000027
2016-01-20,-278.86874999999964
2016-01-21,-98.30000000000018
2016-01-22,-49.3900000000001
2016-01-25,-80.23999999999978
2016-01-26,-63.210000000000036
2016-01-27,-79.38999999999965
2016-01-28,-73.1999999999997
2016-01-29,-25.770000000000095
2016-02-01,-25.64999999999975
2016-02-02,-68.40000000000009
2016-02-03,-53.93999999999983
2016-02-04,-54.65999999999974
2016-02-05,-101.42624999999998
2016-02-08,-143.26
2016-02-09,-166.9799999999998
2016-02-10,-167.9699999999998
2016-02-11,-253.33000000000015
2016-02-12,-182.0
2016-02-16,-87.3900000000001
2016-02-17,-77.96395000000007
2016-02-18,36.76000000000022
2016-02-19,33.84375
2016-02-22,51.180000000000064
2016-02-23,31.28999999999985
2016-02-24,30.730000000000132
2016-02-25,50.70000000000016
2016-02-26,30.309999999999718
2016-02-29,35.160000000000196
2016-03-01,71.54999999999984
2016-03-02,79.10000000000002
2016-03-03,90.83999999999992
2016-03-04,85.68999999999983
2016-03-07,96.0
2016-03-08,84.63000000000011
2016-03-09,82.32000000000005
2016-03-10,75.80625000000009
2016-03-11,108.33875000000012
2016-03-14,101.49999999999989
2016-03-15,156.49125000000004
2016-03-16,141.7744499999999
2016-03-17,76.86000000000001
2016-03-18,84.17999999999995
2016-03-21,98.9799999999999
2016-03-22,109.12
2016-03-23,110.85000000000002
2016-03-24,123.92999999999995
2016-03-28,118.46999999999991
2016-03-29,118.64999999999998
2016-03-30,108.30625000000015
2016-03-31,114.06999999999994
2016-04-01,114.10000000000002
2016-04-04,114.06999999999994
2016-04-05,116.1600000000002
2016-04-06,118.98000000000002
2016-04-07,115.68000000000006
2016-04-08,130.2399999999999
2016-04-11,140.78999999999996
2016-04-12,160.73999999999978
2016-04-13,171.19000000000017
2016-04-14,166.13999999999987
2016-04-15,149.45999999999992
2016-04-18,144.24000000000018
2016-04-19,175.37625000000014
2016-04-20,233.03245000000004
2016-04-21,119.85000000000025
2016-04-22,126.53999999999985
2016-04-25,134.15999999999985
2016-04-26,142.5899999999998
2016-04-27,142.33000000000004
2016-04-28,139.80000000000007
2016-04-29,150.57000000000016
2016-05-02,162.95999999999998
2016-05-03,163.5300000000001
2016-05-04,158.17999999999995
2016-05-05,168.25999999999988
2016-05-06,177.05999999999995
2016-05-09,170.8499999999999
2016-05-10,164.57999999999998
2016-05-11,157.92000000000007
2016-05-12,147.15000000000015
2016-05-13,149.38
2016-05-16,149.73000000000002
2016-05-17,172.13874999999996
2016-05-18,148.42704999999995
2016-05-19,100.70999999999992
2016-05-20,117.89374999999995
2016-05-23,109.95000000000005
2016-05-24,121.45000000000005
2016-05-25,126.53999999999985
2016-05-26,134.60000000000002
2016-05-27,148.5
2016-05-31,144.10000000000014
2016-06-01,147.5999999999999
2016-06-02,150.4000000000001
2016-06-03,152.88
2016-06-06,150.48000000000002
2016-06-07,135.88
2016-06-08,121.03000000000003
2016-06-09,111.0100000000001
2016-06-10,64.71000000000015
2016-06-13,-8.509999999999764
2016-06-14,24.870000000000005
2016-06-15,11.074049999999943
2016-06-16,32.36000000000013
2016-06-17,32.44000000000017
2016-06-20,60.39999999999975
2016-06-21,49.39999999999998
2016-06-22,19.549999999999955
2016-06-23,65.16999999999996
2016-06-24,-47.013749999999845
2016-06-27,-58.34374999999977
2016-06-28,38.25
